**note it stops for one second, then resumes at max speed, refer to video sent, at the time i press enter, and enter "y"

C:\Users\johns\Desktop\rplidar>simple_grabber COM4
RPLIDAR S/N: 81939A86C0E09CC9A2E09DF713413079
Version: 1.10.0
Firmware Ver: 1.28
Hardware Rev: 5
RPLidar health status : OK. (errorcode: 0)
waiting for data...
*WARN* YOU ARE USING DEPRECATED API: grabScanData(), PLEASE MOVE TO grabScanDataHq()
*WARN* YOU ARE USING DEPRECATED API: ascendScanData(rplidar_response_measurement_node_t*, size_t), PLEASE MOVE TO ascendScanData(rplidar_response_measurement_node_hq_t*, size_t)
                                                        **     *
                                                        **     *
                                                        **    **
                                                        **    **
                                                       ***    **
                                                       ***    **
                                                    ******    **
                                                    ******    **
                                                    *******   **
                                                    ************
                                                    ************
                                          *         ************
                                        ****        ************
                                        ****        ************
                                        ****        ************
                               *        ****        ************
                               *        *****       ************     **
                               ****** *******       ************     ******
                         **    ******************** ************    *******
***************************************************************************
---------------------------------------------------------------------------
Do you want to see all the data? (y/n) y
   theta: 0.17 Dist: 00000.00
   theta: 0.81 Dist: 00000.00
   theta: 1.14 Dist: 01049.00
   theta: 1.45 Dist: 00000.00
   theta: 2.73 Dist: 00000.00
   theta: 3.39 Dist: 00000.00
   theta: 4.03 Dist: 00000.00
   theta: 4.67 Dist: 00000.00
   theta: 5.31 Dist: 00000.00
   theta: 5.95 Dist: 00000.00
   theta: 6.59 Dist: 00000.00
   theta: 7.23 Dist: 00000.00
   theta: 7.88 Dist: 00000.00
   theta: 8.52 Dist: 00000.00
   theta: 9.16 Dist: 00000.00
   theta: 9.80 Dist: 00000.00
   theta: 11.41 Dist: 00399.00
   theta: 12.30 Dist: 00403.00
   theta: 12.38 Dist: 00000.00
   theta: 13.02 Dist: 00000.00
   theta: 13.66 Dist: 00000.00
   theta: 14.30 Dist: 00000.00
   theta: 14.94 Dist: 00000.00
   theta: 15.58 Dist: 00000.00
   theta: 16.22 Dist: 00000.00
   theta: 16.86 Dist: 00000.00
   theta: 17.31 Dist: 00137.00
   theta: 17.50 Dist: 00000.00
   theta: 18.14 Dist: 00000.00
   theta: 18.78 Dist: 00000.00
   theta: 19.42 Dist: 00000.00
   theta: 20.06 Dist: 00000.00
   theta: 20.70 Dist: 00000.00
   theta: 21.34 Dist: 00000.00
   theta: 22.00 Dist: 00000.00
   theta: 22.64 Dist: 00000.00
   theta: 23.28 Dist: 00000.00
   theta: 23.92 Dist: 00000.00
   theta: 24.56 Dist: 00000.00
   theta: 25.20 Dist: 00000.00
   theta: 25.84 Dist: 00000.00
   theta: 26.48 Dist: 00000.00
   theta: 27.13 Dist: 00000.00
   theta: 27.77 Dist: 00000.00
   theta: 28.41 Dist: 00000.00
   theta: 29.05 Dist: 00000.00
   theta: 29.69 Dist: 00000.00
   theta: 30.33 Dist: 00000.00
   theta: 30.98 Dist: 00000.00
   theta: 31.63 Dist: 00000.00
   theta: 32.27 Dist: 00000.00
   theta: 32.91 Dist: 00000.00
   theta: 33.55 Dist: 00000.00
   theta: 34.19 Dist: 00000.00
   theta: 34.83 Dist: 00000.00
   theta: 35.47 Dist: 00000.00
   theta: 36.11 Dist: 00000.00
